Individual Ritland LynchRd TrioML DyadML
ppo1925 0.1089 0.1522 0.1356 0.1821
ppo2458 0.3002 0.3108 0.2928 0.3161
ppo2476 -0.1660 -0.1196 0.0177 0.0375
ppo2478 -0.0246 -0.0086 0.0898 0.0848
ppo1923 0.1718 0.2282 0.2130 0.2823
ppo1929 1.2956 0.8216 0.6358 0.6351
ppo1930 -0.0294 -0.0391 0.0736 0.0700
ppo1931 -0.1212 -0.1085 0.0281 0.0367
ppo1932 0.1155 0.0822 0.1807 0.2014
ppo1927 0.3786 0.5640 0.7509 0.7954
ppo1928 0.2619 0.6437 0.7098 0.7609
ppo1938 0.2202 0.2353 0.3315 0.3778
ppo1671 -0.0924 -0.0943 0.0428 0.0552
ppo1672 0.1075 0.0656 0.1724 0.2593
ppo1673 0.8654 0.6343 0.4472 0.5252
ppo1675 0.2621 0.5595 0.5874 0.6304
ppo1934 0.0663 0.0871 0.1687 0.1985
ppo1935 -0.2677 -0.2687 0.0000 0.0000
ppo1942 0.1423 0.3065 0.3221 0.4487
ppo1937 -0.0492 -0.0726 0.0697 0.1162
ppo1945 0.1409 0.2202 0.2517 0.3155
ppo2579 0.1936 0.3014 0.2579 0.3377
ppo2603 -0.0760 -0.0796 0.0476 0.0605
ppo2607 -0.1905 -0.3035 0.0000 0.0000
ppo2609 -0.0066 -0.0094 0.0878 0.0920
ppo2610 0.2947 0.1945 0.3920 0.4663
