Multiplexes 1-5,,,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5
PPO#,Group & ID,,TAWH252 (156bp),TAWH252 (156bp),TAWH111(243bp),TAWH111(243bp),TAWH7 (216bp),TAWH7 (216bp),TAWH240 (245bp) ,TAWH240 (245bp) ,TAWH104 (150bp),TAWH104 (150bp),TAWH 269 (247bp),TAWH 269 (247bp),TAWH191 (101bp),TAWH191 (101bp),TAWH33 (247bp),TAWH33 (247bp),TAWH138 (207bp),TAWH138 (207bp),TAWH84 (246bp),TAWH84 (246bp)
,,Alleles,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2
1925,AF1,Peak,148.32,156.51,267.08*,267.08*,241.43*,245.68*,0,0,0,0,342.04*,342.04*,101.84,101.84,244.77*,249.02,210.29*,210.29*,247.32*,247.32*
,,Real,148,156,266,266,240,244,0,0,0,0,343,343,101,101,244,248,211,211,248,248
2458 (blood),tn3 chick,Peak,152.47,152.47,266.89,266.89,241.56,245.71,214.69*,221.76*,140.98,140.98,343.37,343.37,101.84,101.84,249.02,260.4,211.28,211.28,248.43,267.99
,,Real,152,152,266,266,240,244,213,221,140,140,343,343,101,101,248,260,211,211,248,268
2476 (blood),tn2 chick (24+days),Peak,152.55,156.44,266.68,274.12,245.66,245.66,213.63*,221.77*,141,148.89,334.33,338.4,101.85,101.85,244.84,249.1,210.36,210.36,248.38,248.38
,,Real,152,156,266,274,244,244,213,221,140,148,335,339,101,101,244,248,211,211,248,248
2478 (blood),tn1 chick (24+days),Peak,152.54,152.54,266.84,274.13,245.68,245.68,214.62*,222.92*,141,167.47,338.32,343.27,101.85,101.85,249.02,260.36,211.28,211.28,239.99,248.38
,,Real,152,152,266,274,244,244,213,221,140,168,339,343,101,101,248,260,211,211,240,248
1923,AG1,Peak,148.31,148.31,266.96,266.96,233.76,236.89,214.58,214.58,140.92,153.48,338.47*,338.47*,101.76,101.76,248.86,260.25,211.2*,211.2*,247.03*,247.03*
,,Real,148,148,266,266,232,236,213,213,140,152,339,339,101,101,248,260,211,211,248,248
